id,Level1,Level2,Level3,Level4,Level5,Level6,Level7
373,-97.000000,21557.000000,203.000000,-97.000000,nan,nan,nan
374,-101.000000,21557.000000,203.000000,-85.000000,nan,nan,nan
375,-99.000000,-101.000000,nan,nan,nan,nan,nan
376,-99.000000,-101.000000,nan,nan,nan,nan,nan
377,-101.000000,-97.000000,nan,nan,nan,nan,nan
378,-101.000000,-97.000000,nan,nan,nan,nan,nan
379,-103.000000,-93.000000,nan,nan,nan,nan,nan
380,-103.000000,-93.000000,nan,nan,nan,nan,nan
381,-103.000000,-93.000000,nan,nan,nan,nan,nan
382,-99.000000,-91.000000,nan,nan,nan,nan,nan
383,-77.000000,-107.000000,nan,nan,nan,nan,nan
384,-77.000000,-101.000000,nan,nan,nan,nan,nan
385,-77.000000,-101.000000,nan,nan,nan,nan,nan
386,-77.000000,-101.000000,nan,nan,nan,nan,nan
387,-81.000000,-101.000000,nan,nan,nan,nan,nan
388,-81.000000,-101.000000,nan,nan,nan,nan,nan
389,-81.000000,-101.000000,nan,nan,nan,nan,nan
390,-83.000000,-97.000000,nan,nan,nan,nan,nan
391,-83.000000,-97.000000,nan,nan,nan,nan,nan
392,-81.000000,-97.000000,nan,nan,nan,nan,nan
393,-81.000000,-97.000000,nan,nan,nan,nan,nan
394,-81.000000,-89.000000,nan,nan,nan,nan,nan
395,-81.000000,-89.000000,nan,nan,nan,nan,nan
396,-81.000000,-89.000000,nan,nan,nan,nan,nan
397,-81.000000,-89.000000,nan,nan,nan,nan,nan
398,-81.000000,-89.000000,nan,nan,nan,nan,nan
399,-81.000000,-89.000000,nan,nan,nan,nan,nan
400,-77.000000,-81.000000,nan,nan,nan,nan,nan
401,-77.000000,-81.000000,nan,nan,nan,nan,nan
402,-77.000000,-81.000000,nan,nan,nan,nan,nan
403,-71.000000,-81.000000,nan,nan,nan,nan,nan
404,-71.000000,-81.000000,nan,nan,nan,nan,nan
405,-73.000000,-79.000000,nan,nan,nan,nan,nan
406,-73.000000,-79.000000,nan,nan,nan,nan,nan
407,-73.000000,-79.000000,nan,nan,nan,nan,nan
408,-75.000000,-79.000000,nan,nan,nan,nan,nan
409,-75.000000,-79.000000,nan,nan,nan,nan,nan
410,-79.000000,-79.000000,nan,nan,nan,nan,nan
411,-79.000000,-79.000000,nan,nan,nan,nan,nan
412,-83.000000,-79.000000,nan,nan,nan,nan,nan
413,-83.000000,-79.000000,nan,nan,nan,nan,nan
414,-83.000000,-79.000000,nan,nan,nan,nan,nan
415,-85.000000,-75.000000,nan,nan,nan,nan,nan
416,-85.000000,-75.000000,nan,nan,nan,nan,nan
417,-85.000000,-75.000000,nan,nan,nan,nan,nan
418,-85.000000,-75.000000,nan,nan,nan,nan,nan
419,-81.000000,-73.000000,nan,nan,nan,nan,nan
420,-81.000000,-73.000000,nan,nan,nan,nan,nan
421,-81.000000,-73.000000,nan,nan,nan,nan,nan
422,-83.000000,-73.000000,nan,nan,nan,nan,nan
423,-83.000000,-73.000000,nan,nan,nan,nan,nan
424,-83.000000,-73.000000,nan,nan,nan,nan,nan
425,-81.000000,-73.000000,nan,nan,nan,nan,nan
426,-81.000000,-73.000000,nan,nan,nan,nan,nan
427,-77.000000,-73.000000,nan,nan,nan,nan,nan
428,-77.000000,-73.000000,nan,nan,nan,nan,nan
429,-77.000000,-73.000000,nan,nan,nan,nan,nan
430,-79.000000,-69.000000,nan,nan,nan,nan,nan
431,-79.000000,-69.000000,nan,nan,nan,nan,nan
432,-79.000000,-69.000000,nan,nan,nan,nan,nan
433,-79.000000,-69.000000,nan,nan,nan,nan,nan
434,-79.000000,-69.000000,nan,nan,nan,nan,nan
435,-83.000000,-73.000000,nan,nan,nan,nan,nan
436,-83.000000,-73.000000,nan,nan,nan,nan,nan
437,-83.000000,-73.000000,nan,nan,nan,nan,nan
438,-87.000000,-73.000000,nan,nan,nan,nan,nan
439,-87.000000,-73.000000,nan,nan,nan,nan,nan
440,-91.000000,-77.000000,nan,nan,nan,nan,nan
441,-91.000000,-77.000000,nan,nan,nan,nan,nan
442,-91.000000,-77.000000,nan,nan,nan,nan,nan
443,-87.000000,-77.000000,nan,nan,nan,nan,nan
444,-87.000000,-77.000000,nan,nan,nan,nan,nan
445,-83.000000,-81.000000,nan,nan,nan,nan,nan
446,-83.000000,-81.000000,nan,nan,nan,nan,nan
447,-79.000000,-81.000000,nan,nan,nan,nan,nan
448,-79.000000,-81.000000,nan,nan,nan,nan,nan
449,-79.000000,-81.000000,nan,nan,nan,nan,nan
450,-79.000000,-81.000000,nan,nan,nan,nan,nan
451,-79.000000,-81.000000,nan,nan,nan,nan,nan
452,-77.000000,-83.000000,nan,nan,nan,nan,nan
453,-77.000000,-83.000000,nan,nan,nan,nan,nan
454,-77.000000,-83.000000,nan,nan,nan,nan,nan
455,-81.000000,-83.000000,nan,nan,nan,nan,nan
456,-81.000000,-83.000000,nan,nan,nan,nan,nan
457,-81.000000,-83.000000,nan,nan,nan,nan,nan
458,-83.000000,-89.000000,nan,nan,nan,nan,nan
459,-83.000000,-89.000000,nan,nan,nan,nan,nan
